,LATITUD,LONGITUD
376,19.6962348,-101.1625873
377,19.695992,-101.1625914
378,19.695992,-101.1625914
379,19.6899416,-101.2604072
380,18.9514103,-101.8142755
381,18.9514103,-101.8142755
382,19.7631593571602,-101.195634869553
383,19.7631593571602,-101.195634869553
384,19.3915309,-101.9234707
385,19.9573872227439,-100.170069188215
386,19.6760461,-101.2459395
387,19.0588488,-101.5589793
388,19.2032410243914,-101.709771564176
389,19.8927958,-100.4446933
390,19.8928144,-100.4446834
391,34.1302785,-117.2383081
392,19.8993938,-100.6897795
393,19.8993938,-100.6897795
394,19.310588,-101.8676093
395,19.310588,-101.8676093
396,21.0678555,-101.5955463
397,19.7077382,-101.2169481
398,38.1786228331751,-83.4522856225974
399,38.1786228331751,-83.4522856225974
400,38.1786228331751,-83.4522856225974
401,38.1786228331751,-83.4522856225974
402,38.1786228331751,-83.4522856225974
403,19.4212638,-102.1277993
404,19.7004217,-101.2677404
405,19.7004217,-101.2677404
406,19.7004217,-101.2677404
407,19.6975436,-101.1582331
408,19.6975436,-101.1582331
409,19.6975436,-101.1582331
410,19.6837847,-101.1758066
411,19.6837847,-101.1758066
412,19.7062528,-101.1684934
413,19.7159018,-101.1625172
414,19.664,-101.2228
415,19.664,-101.2228
416,19.6658526,-101.1912904
417,19.7009106,-101.1523463
418,19.4240642,-102.1345036
419,19.3148918,-100.4336157
420,19.3148918,-100.4336157
421,19.2951028,-101.8151531
422,19.860899,-100.8224291
423,19.6973869,-101.1581524
424,19.7042492,-101.1737583
425,19.4094654814782,-102.060611522728
426,19.7109457,-101.1814091
427,19.7109457,-101.1814091
428,19.7109457,-101.1814091
429,19.7109457,-101.1814091
430,19.7109457,-101.1814091
431,19.7109457,-101.1814091
432,19.7109457,-101.1814091
433,19.7109457,-101.1814091
434,19.7109457,-101.1814091
435,19.7109457,-101.1814091
436,19.7109457,-101.1814091
437,20.6232094,-103.234992
438,19.696011,-101.1626433
439,19.696011,-101.1626433
440,19.695892,-101.162399
441,19.695892,-101.162399
442,19.695723,-101.162586
443,19.695723,-101.162586
444,19.695723,-101.162586
445,19.695723,-101.162586
446,19.7062528,-101.1684934
447,19.9806487813049,-102.280189685218
448,19.9806487813049,-102.280189685218
449,19.7062528,-101.1684934
450,19.9806487813049,-102.280189685218
451,19.6960912,-101.1627081
452,19.696021000000002,-101.162697
453,19.696021000000002,-101.162697
454,19.696021000000002,-101.162697
455,19.6842102,-101.281891
456,19.6842102,-101.281891
457,19.6842102,-101.281891
458,20.378075,-102.0265436
459,19.6207408899999,-100.609359739999
460,19.6207408899999,-100.609359739999
461,19.6207408899999,-100.609359739999
462,20.6583449,-103.2438062
463,20.6583449,-103.2438062
464,20.6583449,-103.2438062
465,19.6900552532327,-101.160338490271
466,19.7075047802835,-101.203625074919
467,19.3077471,-101.8936416
468,19.3074895,-101.8938059
469,19.9693918,-101.169665
470,19.3462815,-101.4788608
471,19.6919557,-101.117971
472,19.695946,-101.162649
473,19.695946,-101.162649
474,19.6974553,-101.1582232
475,19.6974553,-101.1582232
476,19.7296057821268,-101.10447247016
477,19.6961004117101,-101.162738408639
478,19.72129597,-101.14780957
479,21.0632534,-100.4739027
480,19.7076292,-101.1900068
481,19.6960396,-101.1625618
482,19.6960396,-101.1625618
483,19.4193510546794,-101.286598975952
